
2025/08/13 (16:57:54) | ===> btop++ v.1.4.0
2025/08/13 (16:57:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (17:48:52) | ===> btop++ v.1.4.0
2025/08/13 (17:48:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (19:00:22) | ===> btop++ v.1.4.0
2025/08/13 (19:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (20:56:21) | ===> btop++ v.1.4.0
2025/08/13 (20:56:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/13 (21:24:05) | WARNING: Failed to join _runner thread on exit!

2025/08/13 (21:35:18) | ===> btop++ v.1.4.0
2025/08/13 (21:35:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
